Provinsi,Tahun,Ln_Miskin,IPG,Ln_PDRB,Ln_UMP,R_Sek,Peng_Tbk,AHH,TKK
Aceh,2015,6.751686093,92.07,4.522549157,14.45736444,9.32,8.83,69.54,91.171
Aceh,2016,6.739188687,91.89,4.52059221,14.56621885,9.36,7.85,69.565,92.148
Aceh,2017,6.746652993,91.67,4.518195172,14.73180129,9.42,6.98,69.585,93.024
Aceh,2018,6.728024364,91.67,4.518195172,14.80876233,9.46,6.44,69.7,93.561
Aceh,2019,6.702697195,91.84,4.520047933,14.88600111,9.59,5.825,69.915,94.173
Aceh,2020,6.714667979,92.07,4.522549157,14.96767341,9.71,5.995,69.975,94.002
Aceh,2021,6.736076882,92.23,4.524285457,14.9681248,9.77,6.3,70.005,93.170
Sumatra Utara,2015,7.303779293,90.96,4.510419849,14.30101837,9.34,6.55,68.335,93.451
Sumatra Utara,2016,7.282245583,90.82,4.508879526,14.40987278,9.46,6.165,68.385,93.834
Sumatra Utara,2017,7.237217287,90.65,4.507005937,14.48914561,9.55,6.005,68.39,94.000
Sumatra Utara,2018,7.176625258,90.66,4.507116246,14.57265971,9.61,5.58,68.625,94.422
Sumatra Utara,2019,7.14777168,90.71,4.507667605,14.64989815,9.71,5.48,68.995,94.523
Sumatra Utara,2020,7.185390803,90.67,4.507226542,14.73157046,9.83,5.81,69.15,94.188
Sumatra Utara,2021,7.176609973,90.73,4.507888063,14.75262653,9.88,6.17,69.28,94.032
Sumatra Barat,2015,5.898718577,94.74,4.551136297,14.29484551,8.85,6.44,68.7,93.560
Sumatra Barat,2016,5.924349376,94.42,4.547752915,14.40369992,8.97,5.45,68.775,94.551
Sumatra Barat,2017,5.892334581,94.16,4.544995463,14.48297268,9.02,5.69,68.82,94.306
Sumatra Barat,2018,5.87263878,94.17,4.54510166,14.56648646,9.1,5.67,69.045,94.333
Sumatra Barat,2019,5.845441168,94.09,4.544251771,14.64372171,9.22,5.38,69.355,94.622
Sumatra Barat,2020,5.870736554,94.17,4.54510166,14.72539723,9.34,6.065,69.52,93.937
Sumatra Barat,2021,5.872962503,94.34,4.546905278,14.73680435,9.46,6.595,69.635,93.286
Riau,2015,6.304732126,87.75,4.474491862,14.44571794,8.89,7.275,70.975,92.725
Riau,2016,6.231455383,88.04,4.477791257,14.55506411,8.97,6.685,71,93.314
Riau,2017,6.22555793,88.17,4.479266769,14.63384529,9.06,5.99,71.02,94.007
Riau,2018,6.209294004,88.37,4.481532546,14.7173591,9.11,5.765,71.22,94.234
Riau,2019,6.188920991,88.43,4.482211279,14.79459804,9.35,5.56,71.525,94.440
Riau,2020,6.18889021,88.14,4.478926459,14.87627005,9.47,5.62,71.65,94.380
Riau,2021,6.212074893,88.38,4.4816457,14.89343158,9.52,4.69,71.72,95.408
Jambi,2015,5.724026181,88.44,4.482324356,14.35200393,8.43,3.535,70.605,96.464
Jambi,2016,5.670932094,88.29,4.480626851,14.46085833,8.55,4.33,70.655,95.670
Jambi,2017,5.643961696,88.13,4.478812997,14.53967179,8.61,3.77,70.71,96.230
Jambi,2018,5.640416599,88.44,4.482324356,14.62364531,8.7,3.645,70.845,96.352
Jambi,2019,5.612562253,88.44,4.482324356,14.70088383,8.86,3.79,71.04,96.212
Jambi,2020,5.645270204,88.41,4.481985085,14.782556,8.97,4.695,71.17,95.305
Jambi,2021,5.658994292,88.62,4.484357566,14.80836966,9.03,4.925,71.26,95.282
Sumatra Selatan,2015,7.029158421,92.22,4.524177027,14.49574776,8.26,5.55,69.19,94.447
Sumatra Selatan,2016,7.002014907,92.08,4.522657764,14.60669148,8.32,4.125,69.22,95.877
Sumatra Selatan,2017,6.991029682,92.43,4.526451601,14.68596675,8.41,4.095,69.23,95.905
Sumatra Selatan,2018,6.977593793,92.62,4.528505101,14.76948043,8.48,4.175,69.46,95.824
Sumatra Selatan,2019,6.9758344,92.4,4.526126979,14.84671907,8.6,4.275,69.705,95.729
Sumatra Selatan,2020,7.003624393,92.38,4.525910505,14.92839091,8.68,4.705,69.93,95.300
Sumatra Selatan,2021,7.016775589,92.35,4.525585707,14.96114828,8.78,5.075,70.03,94.430
Bengkulu,2015,5.794384619,91.38,4.515026636,14.22097567,8.74,4.06,68.54,95.941
Bengkulu,2016,5.79028122,91.06,4.51151863,14.28863431,8.82,3.57,68.555,96.432
Bengkulu,2017,5.735926928,91.34,4.514588808,14.36363197,8.91,3.275,68.575,96.725
Bengkulu,2018,5.712676142,91.37,4.514917197,14.45142103,8.94,2.99,68.825,97.011
Bengkulu,2019,5.70428235,91.19,4.512945242,14.52865986,9.08,2.835,69.205,97.162
Bengkulu,2020,5.717981194,91,4.510859507,14.61013251,9.2,3.575,69.37,96.425
Bengkulu,2021,5.700092341,91.16,4.512616204,14.62113517,9.26,3.685,69.47,95.280
Lampung,2015,7.031816344,89.89,4.498586701,14.27356812,8.01,4.29,69.94,95.714
Lampung,2016,7.051587189,90.3,4.50313746,14.38252746,8.1,4.58,69.965,95.419
Lampung,2017,7.010072669,90.49,4.505239347,14.46180038,8.19,4.38,69.975,95.623
Lampung,2018,6.997893014,90.57,4.506123032,14.54531411,8.29,4.18,70.205,95.816
Lampung,2019,6.958990072,90.39,4.504133642,14.62255323,8.36,3.99,70.56,96.009
Lampung,2020,6.975628858,90.33,4.503469631,14.70422534,8.51,4.465,70.695,95.536
Lampung,2021,6.952226607,90.37,4.503912354,14.70770776,8.56,4.615,70.775,94.098
Kep.Bangka Belitung,2015,4.253553854,88.37,4.481532546,14.5574479,7.83,4.82,69.93,95.180
Kep.Bangka Belitung,2016,4.275484866,88.9,4.487512143,14.66630231,8.04,4.385,69.965,95.617
Kep.Bangka Belitung,2017,4.31941958,88.93,4.487849543,14.74557519,8.13,4.12,69.985,95.881
Kep.Bangka Belitung,2018,4.291759965,89.15,4.490320344,14.82908915,8.24,3.6,70.215,96.400
Kep.Bangka Belitung,2019,4.217667778,89,4.48863637,14.90632788,8.35,3.45,70.545,96.549
Kep.Bangka Belitung,2020,4.251633171,88.92,4.487737089,14.98800013,8.49,4.3,70.68,95.702
Kep.Bangka Belitung,2021,4.265563041,89.11,4.489871562,14.99873479,8.54,5.035,70.78,93.816
Kep.Riau,2015,4.775882954,93.22,4.534962291,14.48538911,9.85,7.625,69.46,92.375
Kep.Riau,2016,4.785614983,93.13,4.533996367,14.59424352,9.9,8.36,69.49,91.639
Kep.Riau,2017,4.843399375,92.96,4.532169293,14.67351688,10,6.8,69.5,93.203
Kep.Riau,2018,4.856084534,92.97,4.53227686,14.75703034,10.01,7.67,69.66,92.327
Kep.Riau,2019,4.85288927,93.1,4.533674184,14.83426907,10.13,7.26,69.825,92.741
Kep.Riau,2020,4.922095477,93.31,4.535927283,14.91594119,10.22,8.16,69.99,91.845
Kep.Riau,2021,4.949504294,93.49,4.537854479,14.93070854,10.38,10.015,70.155,92.061
DKI Jakarta,2015,5.950108556,94.72,4.550925171,14.80876233,10.9,7.795,72.48,92.204
DKI Jakarta,2016,5.953425136,94.98,4.553666343,14.94691267,10.92,5.945,72.565,94.056
DKI Jakarta,2017,5.969755604,94.7,4.550714,15.02618585,10.97,6.25,72.595,93.748
DKI Jakarta,2018,5.920746975,94.7,4.550714,15.1096995,11.06,6.19,72.715,93.813
DKI Jakarta,2019,5.896947802,94.71,4.550819591,15.18693821,11.11,6.02,72.82,93.981
DKI Jakarta,2020,6.192055694,94.63,4.549974551,15.2686104,11.17,8.05,72.95,91.949
DKI Jakarta,2021,6.214818076,94.84,4.552191261,15.35062441,11.2,8.505,73.06,89.890
Jawa Barat,2015,8.403055379,89.11,4.489871562,13.81551056,8.31,8.56,72.45,91.441
Jawa Barat,2016,8.341939399,89.56,4.494908792,14.62644077,8.41,8.73,72.48,91.271
Jawa Barat,2017,8.286880251,89.18,4.490656799,14.16660677,8.46,8.355,72.5,91.649
Jawa Barat,2018,8.182446066,89.19,4.490768926,14.25012079,8.61,8.225,72.69,91.778
Jawa Barat,2019,8.127854845,89.26,4.491553459,14.32735946,8.79,7.91,72.92,92.090
Jawa Barat,2020,8.307551824,89.2,4.49088104,14.40903131,8.96,9.085,73.15,90.912
Jawa Barat,2021,8.318766643,89.36,4.492673155,14.42608396,9.03,9.37,73.38,91.082
Jawa Tengah,2015,8.420992816,92.21,4.524068585,13.72119988,7.57,5.15,74,94.850
Jawa Tengah,2016,8.411903784,92.22,4.524177027,14.16303083,7.7,4.415,74.045,95.586
Jawa Tengah,2017,8.371960462,91.94,4.52113619,14.12812912,7.77,4.36,74.09,95.637
Jawa Tengah,2018,8.264185616,91.95,4.521244951,14.21164224,7.84,4.33,74.19,95.668
Jawa Tengah,2019,8.21914154,91.89,4.52059221,14.28888101,8.03,4.315,74.245,95.686
Jawa Tengah,2020,8.306574624,92.18,4.523743187,14.37055305,8.19,5.34,74.405,94.662
Jawa Tengah,2021,8.299504734,92.48,4.526992405,14.41045764,8.26,5.955,74.515,94.392
D.I Yogyakarta,2015,6.249772519,94.41,4.547647,13.80394392,9.59,4.07,74.72,95.928
D.I Yogyakarta,2016,6.198244949,94.27,4.546163005,13.98314986,9.62,2.765,74.73,97.235
D.I Yogyakarta,2017,6.168417552,94.39,4.547435135,14.10593886,9.68,2.93,74.76,97.069
D.I Yogyakarta,2018,6.12068196,94.73,4.55103074,14.18993485,9.73,3.185,74.84,96.817
D.I Yogyakarta,2019,6.097354922,94.77,4.551452903,14.2671739,9.83,3.035,74.945,96.966
D.I Yogyakarta,2020,6.193241449,94.8,4.551769409,14.34884573,9.95,3.975,75.025,96.024
D.I Yogyakarta,2021,6.195364115,94.88,4.552612935,14.42577329,10.04,4.42,75.08,96.309
Jawa Timur,2015,8.472728111,91.07,4.511628442,13.81551056,7.71,4.39,70.73,95.608
Jawa Timur,2016,8.449110263,90.72,4.50777784,14.35301161,7.78,4.175,70.74,95.825
Jawa Timur,2017,8.414305172,90.76,4.50821866,14.14337442,7.87,4.05,70.76,95.949
Jawa Timur,2018,8.369242916,90.77,4.508328835,14.22688815,7.93,3.84,70.93,96.162
Jawa Timur,2019,8.314862786,90.91,4.509870006,14.30412677,8.11,3.795,71.225,96.208
Jawa Timur,2020,8.41239585,91.07,4.511628442,14.38579891,8.31,4.72,71.345,95.277
Jawa Timur,2021,8.393026951,91.67,4.518195172,14.45291614,8.37,5.455,71.43,94.844
Banten,2015,6.546118043,91.11,4.512067568,14.28551419,8.7,9.065,69.475,90.935
Banten,2016,6.489090943,90.97,4.510529782,14.39436859,8.79,8.435,69.49,91.563
Banten,2017,6.53296728,91.14,4.512396786,14.47364177,8.87,8.515,69.52,91.486
Banten,2018,6.499862226,91.3,4.514150788,14.557155,8.93,8.095,69.67,91.907
Banten,2019,6.473798099,91.67,4.518195172,14.63440453,9.07,7.83,69.89,92.174
Banten,2020,6.705412631,91.74,4.518958489,14.71607711,9.22,9.315,70.005,90.684
Banten,2021,6.756647465,91.83,4.519939042,14.73228237,9.29,8.995,70.07,91.077
Bali,2015,5.336335434,92.71,4.529476342,14.2986599,8.8,1.68,71.4,98.321
Bali,2016,5.173660762,93.2,4.534747722,14.40751056,8.84,2.005,71.435,97.999
Bali,2017,5.183495567,93.7,4.540098189,14.48678374,8.93,1.38,71.465,98.618
Bali,2018,5.136092511,93.71,4.540204907,14.5702969,9,1.14,71.685,98.859
Bali,2019,5.077545999,93.72,4.540311614,14.64753625,9.19,1.395,72,98.609
Bali,2020,5.198800853,93.79,4.541058241,14.72939841,9.31,3.44,72.155,96.562
Bali,2021,5.331341033,94.01,4.54340116,14.73856675,9.45,5.395,72.28,94.862
NTB,2015,6.700841805,90.23,4.502361966,14.1006895,7.51,5.335,65.425,94.663
NTB,2016,6.678983418,90.05,4.500365072,14.20954391,7.57,3.8,65.47,96.202
NTB,2017,6.647623521,90.36,4.503801692,14.30485408,7.64,3.59,65.495,96.414
NTB,2018,6.601963545,90.37,4.503912354,14.41709054,7.69,3.43,65.815,96.569
NTB,2019,6.580389453,90.4,4.504244267,14.51494295,7.98,3.215,66.24,96.787
NTB,2020,6.592996588,90.45,4.504797212,14.59661504,8.08,3.63,66.51,96.372
NTB,2021,6.607973634,90.53,4.505681287,14.60724074,8.13,3.49,66.735,96.375
NTT,2015,7.056334754,92.91,4.531631283,14.03865411,7.4,3.475,66,96.523
NTT,2016,7.047517221,92.72,4.529584199,14.16968237,7.54,3.42,66.045,96.580
NTT,2017,7.041206043,92.44,4.526559785,14.31628585,7.62,3.24,66.08,96.760
NTT,2018,7.03715063,92.57,4.527965115,14.32232816,7.7,2.835,66.395,97.162
NTT,2019,7.036930949,92.72,4.529584199,14.40051558,7.98,3.06,66.895,96.940
NTT,2020,7.059312599,92.73,4.529692045,14.48333993,8.09,3.46,67.055,96.542
NTT,2021,7.054272613,92.63,4.528613063,14.49607896,8.2,3.575,67.195,97.060
Kalimantan Barat,2015,5.977885265,85.61,4.449802099,14.26019638,7.41,4.965,69.92,95.039
Kalimantan Barat,2016,5.955409817,85.77,4.451669295,14.36905078,7.49,4.405,69.94,95.595
Kalimantan Barat,2017,5.96131457,86.28,4.457597822,14.4483237,7.57,4.29,69.95,95.709
Kalimantan Barat,2018,5.935965051,86.74,4.462915138,14.53183701,7.65,4.135,70.21,95.863
Kalimantan Barat,2019,5.925431577,86.81,4.463721822,14.60918158,7.8,4.205,70.61,95.796
Kalimantan Barat,2020,5.910091789,86.87,4.464412748,14.69085387,7.9,5.14,70.735,94.860
Kalimantan Barat,2021,5.888725592,86.95,4.465333241,14.7051813,8,5.775,70.805,93.306
Kalimantan Tengah,2015,4.996637784,89.25,4.491441421,14.45545051,8.4,3.84,69.58,96.160
Kalimantan Tengah,2016,4.945029537,89.07,4.489422577,14.5370304,8.52,4.245,69.585,95.752
Kalimantan Tengah,2017,4.93101472,88.91,4.487624622,14.6143619,8.59,3.68,69.595,96.322
Kalimantan Tengah,2018,4.917715588,89.13,4.490095978,14.69981721,8.66,3.525,69.645,96.476
Kalimantan Tengah,2019,4.889709826,89.09,4.489647095,14.7951272,8.83,3.625,69.695,96.378
